state,topic,value
Baden-Württemberg,"Agrar-, Forstwissenschaften und Tiermedizin",2
Bayern,"Agrar-, Forstwissenschaften und Tiermedizin",28
Berlin,"Agrar-, Forstwissenschaften und Tiermedizin",16
Brandenburg,"Agrar-, Forstwissenschaften und Tiermedizin",18
Bremen,"Agrar-, Forstwissenschaften und Tiermedizin",0
Hamburg,"Agrar-, Forstwissenschaften und Tiermedizin",0
Hessen,"Agrar-, Forstwissenschaften und Tiermedizin",31
Mecklenburg-Vorpommern,"Agrar-, Forstwissenschaften und Tiermedizin",0
Niedersachsen,"Agrar-, Forstwissenschaften und Tiermedizin",41
Nordrhein-Westfalen,"Agrar-, Forstwissenschaften und Tiermedizin",13
Rheinland-Pfalz,"Agrar-, Forstwissenschaften und Tiermedizin",0
Sachsen,"Agrar-, Forstwissenschaften und Tiermedizin",0
Sachsen-Anhalt,"Agrar-, Forstwissenschaften und Tiermedizin",0
Schleswig-Holstein,"Agrar-, Forstwissenschaften und Tiermedizin",0
Baden-Württemberg,Bauwesen und Architektur,20
Bayern,Bauwesen und Architektur,6
Berlin,Bauwesen und Architektur,8
Brandenburg,Bauwesen und Architektur,7
Bremen,Bauwesen und Architektur,0
Hamburg,Bauwesen und Architektur,0
Hessen,Bauwesen und Architektur,9
Mecklenburg-Vorpommern,Bauwesen und Architektur,3
Niedersachsen,Bauwesen und Architektur,40
Nordrhein-Westfalen,Bauwesen und Architektur,69
Rheinland-Pfalz,Bauwesen und Architektur,5
Sachsen,Bauwesen und Architektur,1
Sachsen-Anhalt,Bauwesen und Architektur,0
Schleswig-Holstein,Bauwesen und Architektur,0
Baden-Württemberg,Biologie,530
Bayern,Biologie,760
Berlin,Biologie,226
Brandenburg,Biologie,7
Bremen,Biologie,2
Hamburg,Biologie,149
Hessen,Biologie,64
Mecklenburg-Vorpommern,Biologie,20
Niedersachsen,Biologie,292
Nordrhein-Westfalen,Biologie,663
Rheinland-Pfalz,Biologie,48
Sachsen,Biologie,64
Sachsen-Anhalt,Biologie,110
Schleswig-Holstein,Biologie,3
Baden-Württemberg,Chemie,256
Bayern,Chemie,334
Berlin,Chemie,71
Brandenburg,Chemie,7
Bremen,Chemie,9
Hamburg,Chemie,54
Hessen,Chemie,44
Mecklenburg-Vorpommern,Chemie,2
Niedersachsen,Chemie,134
Nordrhein-Westfalen,Chemie,429
Rheinland-Pfalz,Chemie,83
Sachsen,Chemie,45
Sachsen-Anhalt,Chemie,39
Schleswig-Holstein,Chemie,0
Baden-Württemberg,Geisteswissenschaften,301
Bayern,Geisteswissenschaften,96
Berlin,Geisteswissenschaften,148
Brandenburg,Geisteswissenschaften,57
Bremen,Geisteswissenschaften,4
Hamburg,Geisteswissenschaften,266
Hessen,Geisteswissenschaften,92
Mecklenburg-Vorpommern,Geisteswissenschaften,20
Niedersachsen,Geisteswissenschaften,52
Nordrhein-Westfalen,Geisteswissenschaften,353
Rheinland-Pfalz,Geisteswissenschaften,37
Sachsen,Geisteswissenschaften,43
Sachsen-Anhalt,Geisteswissenschaften,29
Schleswig-Holstein,Geisteswissenschaften,1
Baden-Württemberg,Geowissenschaften,78
Bayern,Geowissenschaften,49
Berlin,Geowissenschaften,98
Brandenburg,Geowissenschaften,16
Bremen,Geowissenschaften,34
Hamburg,Geowissenschaften,123
Hessen,Geowissenschaften,5
Mecklenburg-Vorpommern,Geowissenschaften,1
Niedersachsen,Geowissenschaften,80
Nordrhein-Westfalen,Geowissenschaften,157
Rheinland-Pfalz,Geowissenschaften,7
Sachsen,Geowissenschaften,48
Sachsen-Anhalt,Geowissenschaften,7
Schleswig-Holstein,Geowissenschaften,0
Baden-Württemberg,"Informatik, System- und Elektrotechnik",155
Bayern,"Informatik, System- und Elektrotechnik",179
Berlin,"Informatik, System- und Elektrotechnik",19
Brandenburg,"Informatik, System- und Elektrotechnik",1
Bremen,"Informatik, System- und Elektrotechnik",73
Hamburg,"Informatik, System- und Elektrotechnik",21
Hessen,"Informatik, System- und Elektrotechnik",54
Mecklenburg-Vorpommern,"Informatik, System- und Elektrotechnik",3
Niedersachsen,"Informatik, System- und Elektrotechnik",98
Nordrhein-Westfalen,"Informatik, System- und Elektrotechnik",188
Rheinland-Pfalz,"Informatik, System- und Elektrotechnik",16
Sachsen,"Informatik, System- und Elektrotechnik",47
Sachsen-Anhalt,"Informatik, System- und Elektrotechnik",14
Schleswig-Holstein,"Informatik, System- und Elektrotechnik",0
Baden-Württemberg,Maschinenbau und Produktionstechnik,56
Bayern,Maschinenbau und Produktionstechnik,272
Berlin,Maschinenbau und Produktionstechnik,63
Brandenburg,Maschinenbau und Produktionstechnik,4
Bremen,Maschinenbau und Produktionstechnik,81
Hamburg,Maschinenbau und Produktionstechnik,0
Hessen,Maschinenbau und Produktionstechnik,105
Mecklenburg-Vorpommern,Maschinenbau und Produktionstechnik,3
Niedersachsen,Maschinenbau und Produktionstechnik,182
Nordrhein-Westfalen,Maschinenbau und Produktionstechnik,165
